,True,Predicted,Cat
0,1,0.38914576172828674,slang
1,0,0.3892602324485779,slang
2,0,0.389098197221756,exaggeration
3,1,0.3891713619232178,exaggeration
4,0,0.3890599310398102,emoji
5,1,0.389049768447876,basic
6,0,0.389049768447876,basic
7,1,0.3890749514102936,basic
8,1,0.3890764117240906,emoji
9,0,0.38922303915023804,slang
10,0,0.38901421427726746,code-switching
11,0,0.389075368642807,basic
12,1,0.389075368642807,basic
13,0,0.3890618681907654,exaggeration
14,0,0.389163613319397,spelling error
15,0,0.3891407251358032,spelling error
16,1,0.3892365097999573,exaggeration
17,0,0.38897112011909485,exaggeration
18,1,0.388836532831192,exaggeration
19,0,0.38910502195358276,irony
20,0,0.3890650272369385,basic
21,1,0.3892962634563446,slang
22,0,0.38915565609931946,emoji
23,0,0.38907548785209656,basic
24,1,0.3890444040298462,slang
25,1,0.38918688893318176,slang
26,1,0.3892962634563446,slang
27,0,0.38900208473205566,slang
28,1,0.3891199827194214,slang
29,1,0.3890599012374878,slang
30,1,0.3890981674194336,basic
31,0,0.38913530111312866,exaggeration
32,0,0.3890530467033386,basic
33,0,0.3890834450721741,slang
34,1,0.38916486501693726,basic
35,0,0.3890599012374878,basic
36,0,0.38912805914878845,slang
37,0,0.38906946778297424,irony
38,1,0.3892962634563446,spelling error
39,1,0.3889397084712982,negation
40,0,0.3890599012374878,spelling error
41,1,0.38910165429115295,basic
42,1,0.38890960812568665,hard to interpret
43,0,0.38900262117385864,emoji
44,1,0.3892962634563446,basic
45,1,0.3890795409679413,code-switching
46,0,0.38903969526290894,basic
47,0,0.38913217186927795,double negation
48,1,0.38901346921920776,spelling error
49,1,0.3892037272453308,emoji
50,1,0.3889520764350891,double negation
51,0,0.3890746235847473,irony
52,1,0.38905301690101624,double meaning
53,0,0.38905301690101624,double meaning
54,0,0.389176607131958,irony
55,0,0.3890417218208313,irony
56,0,0.3892037272453308,slang
57,0,0.38911351561546326,hard to interpret
58,0,0.38902249932289124,confusing
59,1,0.3892962634563446,slang
60,1,0.3890540301799774,slang
61,0,0.3891591429710388,double meaning
62,0,0.3892962634563446,slang
63,1,0.3892469108104706,slang
64,1,0.38909149169921875,double meaning
65,0,0.3892962634563446,double meaning
66,0,0.3892962634563446,slang
67,0,0.3890373110771179,double meaning
68,1,0.38908612728118896,double meaning
69,0,0.3891269564628601,double meaning
70,0,0.3890627324581146,hard to interpret
71,0,0.389096200466156,slang
72,0,0.3890131115913391,exaggeration
73,0,0.38916125893592834,slang
74,1,0.38899341225624084,emojii
75,1,0.3892671465873718,spelling error
76,0,0.38915812969207764,double negation
77,1,0.3889499306678772,exaggeration
78,1,0.3889886736869812,spelling error
79,0,0.3892037272453308,slang
80,1,0.38923847675323486,spelling error
81,0,0.3889165222644806,spelling error
82,0,0.3892296552658081,exaggeration
83,0,0.38928118348121643,emoji
84,0,0.38892748951911926,spelling error
85,0,0.3892257809638977,exaggeration
86,1,0.38916632533073425,basic
87,1,0.3891264498233795,code-switching
88,1,0.3890953063964844,code-switching
89,1,0.38907554745674133,code-switching
90,0,0.38928818702697754,foreign language
91,0,0.38928818702697754,double meaning
92,0,0.3891439437866211,hard to interpret
